department_id,department_name,department_phone,department_email,department_website
1,Business Development,550-714-4470,bleuren0@google.fr,http://networksolutions.com
2,Support,979-600-2005,dburnyeat1@technorati.com,https://hubpages.com
3,Research and Development,524-762-9484,mgealle2@sphinn.com,https://cafepress.com
4,Training,235-862-2522,llockhead3@si.edu,http://about.me
5,Services,400-433-2329,dlavelle4@homestead.com,http://hexun.com
6,Human Resources,686-548-8305,athorns5@walmart.com,http://e-recht24.de
7,Legal,528-355-8149,dmitie6@sakura.ne.jp,http://nasa.gov
8,Engineering,681-285-6770,nslite7@is.gd,http://businesswire.com
9,Product Management,620-950-2662,tbanville8@huffingtonpost.com,https://home.pl
10,Marketing,859-807-1210,brenoden9@youku.com,https://nsw.gov.au
11,Accounting,405-360-2978,bbriamoa@addtoany.com,https://baidu.com
12,Sales,644-930-7873,bnylesb@economist.com,https://smugmug.com
